id,casenumber,date,block,iucr,primarytype,description,locationdescription,arrest,domestic,beat,district,ward,communityarea,fbicode,xcoordinate,ycoordinate,year,updatedon,latitude,longitude,location
10272500,HY460540,10/13/2015 03:30:00 PM,045XX W JACKSON BLVD,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,true,1113,11,28,26,04A,1146085,1898300,2015,10/20/2015 03:56:48 PM,41.876919,-87.73909,"(41.876920361, -87.739086758)"
10272735,HY460609,10/13/2015 03:30:00 PM,087XX S KINGSTON AVE,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,423,4,7,46,08A,1194658,1847530,2015,10/20/2015 03:56:48 PM,41.736542,-87.562416,"(41.736543539, -87.562416028)"
10272449,HY460523,10/13/2015 02:38:00 PM,001XX N KEDZIE AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,CTA BUS STOP,true,false,1222,12,27,27,08A,1155021,1900893,2015,10/20/2015 03:56:48 PM,41.883862,-87.706207,"(41.883861352, -87.706206681)"
10272456,HY460491,10/13/2015 01:38:00 PM,001XX N WABASH AVE,0560,ASSAULT,SIMPLE,RESTAURANT,true,false,111,1,42,32,08A,1176798,1901032,2015,10/20/2015 03:56:48 PM,41.883778,-87.626236,"(41.883778241, -87.626235794)"
10272554,HY460541,10/13/2015 01:30:00 PM,075XX N SEELEY AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2424,24,49,1,08A,1161338,1950029,2015,10/20/2015 03:56:48 PM,42.018562,-87.681641,"(42.018564184, -87.681638023)"
10272344,HY460359,10/13/2015 12:50:00 PM,094XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,2221,22,21,73,08A,1167328,1842036,2015,10/20/2015 03:56:48 PM,41.722095,-87.662697,"(41.722095348, -87.662700581)"
10273663,HY461374,10/13/2015 12:33:00 PM,059XX N GLENWOOD AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,2013,20,48,77,08A,1165910,1939379,2015,10/20/2015 03:56:48 PM,41.989243,-87.665123,"(41.989243623, -87.665119726)"
10272334,HY460356,10/13/2015 12:31:00 PM,070XX W GRACE ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,1632,16,36,17,04A,1128645,1924448,2015,10/20/2015 03:56:48 PM,41.948986,-87.802528,"(41.948987423, -87.802528205)"
10272161,HY460338,10/13/2015 12:25:00 PM,002XX W 87TH ST,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,622,6,21,44,08A,1176467,1847230,2015,10/20/2015 03:56:48 PM,41.736149,-87.629066,"(41.736148121, -87.629070243)"
10272073,HY460250,10/13/2015 12:00:00 PM,076XX S HOMAN AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,835,8,18,70,08A,1155024,1853614,2015,10/20/2015 03:56:48 PM,41.75412,-87.707458,"(41.754121535, -87.707460248)"
10272358,HY460260,10/13/2015 12:00:00 PM,025XX W PETERSON AVE,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,false,false,2413,24,50,2,08A,1158135,1939768,2015,10/20/2015 03:56:48 PM,41.990475,-87.69371,"(41.990473958, -87.693706645)"
10272145,HY460252,10/13/2015 11:30:00 AM,053XX S FAIRFIELD AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,923,9,14,63,08A,1158947,1869139,2015,10/20/2015 03:56:48 PM,41.796646,-87.692657,"(41.79664516, -87.69265977)"
10272105,HY460301,10/13/2015 11:20:00 AM,005XX W MONROE ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,121,1,2,28,08A,1172536,1899823,2015,10/20/2015 03:56:48 PM,41.880554,-87.641922,"(41.880555964, -87.64192187)"
10277436,HY460245,10/13/2015 11:15:00 AM,001XX N LA SALLE ST,0560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,false,false,122,1,42,32,08A,1175114,1900975,2015,10/20/2015 03:56:48 PM,41.883659,-87.632423,"(41.883659738, -87.632421239)"
10275039,HY460342,10/13/2015 11:00:00 AM,059XX N RAVENSWOOD AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,2012,20,40,77,08A,1163314,1939392,2015,10/20/2015 03:56:48 PM,41.989334,-87.674667,"(41.989334479, -87.674667806)"
10272555,HY460503,10/13/2015 11:00:00 AM,075XX N SEELEY AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2424,24,49,1,08A,1161338,1950000,2015,10/20/2015 03:56:48 PM,42.018486,-87.681641,"(42.018484607, -87.681638835)"
10271979,HY460161,10/13/2015 10:47:00 AM,034XX S HALSTED ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,BANK,false,false,913,9,11,60,04A,1171531,1882112,2015,10/20/2015 03:56:48 PM,41.831978,-87.646133,"(41.831977734, -87.646132596)"
10271917,HY460159,10/13/2015 10:37:00 AM,015XX N WELLS ST,0560,ASSAULT,SIMPLE,STREET,false,false,1821,18,27,8,08A,1174425,1910496,2015,10/20/2015 03:56:48 PM,41.909801,-87.634666,"(41.909801286, -87.634666572)"
10272072,HY460112,10/13/2015 10:24:00 AM,051XX S PRINCETON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,935,9,3,37,04A,1175162,1870725,2015,10/20/2015 03:56:48 PM,41.800652,-87.633148,"(41.80065029, -87.633150552)"
10272803,HY460996,10/13/2015 10:03:00 AM,055XX N CLARK ST,0560,ASSAULT,SIMPLE,STREET,false,false,2012,20,40,77,08A,1164974,1937053,2015,10/20/2015 03:56:48 PM,41.98288,-87.668633,"(41.982880998, -87.668628859)"
10271807,HY460008,10/13/2015 08:35:00 AM,052XX S HOMAN AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,false,true,822,8,14,63,04A,1154598,1869690,2015,10/20/2015 03:56:48 PM,41.798244,-87.708595,"(41.79824502, -87.708593427)"
